sample_id,Diet,Sex,Wave,BMI_17wk,TC_18wk
DO1548,HC/LF,Male,10,3.25,88.90625
DO1549,HF/LC,Male,10,3.209692847,90.2173913
DO1550,HC/LF,Male,10,3.046905037,107.393617
DO1551,HF/LC,Male,10,2.922733553,79.12087912
DO1552,HC/LF,Male,10,3.617292422,115.1648352
DO1553,HF/LC,Male,10,2.742597607,79.12087912
DO1554,HC/LF,Male,10,3.412149173,96.27659574
DO1555,HF/LC,Male,10,3.191080354,108.4736842
DO1556,HC/LF,Male,10,2.77,58.42696629
DO1557,HF/LC,Male,10,3.748558247,200.3296703
DO1558,HC/LF,Male,10,2.880886427,110.106383
DO1559,HF/LC,Male,10,4.229142637,89.72826087
DO1560,HC/LF,Male,10,3.364090734,94.51086957
DO1561,HF/LC,Male,10,2.679012346,61.91011236
DO1562,HC/LF,Female,11,2.469135802,77.69230769
DO1563,HF/LC,Female,11,3.321532695,158.2417582
DO1564,HC/LF,Female,11,2.303854875,32.07865169
DO1565,HF/LC,Female,11,2.54,115
DO1566,HC/LF,Female,11,2.44,37.5
DO1567,HF/LC,Female,11,3.024930748,67.5
DO1568,HC/LF,Female,11,2.136252524,86.32978723
DO1569,HF/LC,Female,11,2.764434859,62.44680851
DO1570,HC/LF,Female,11,2.626038781,68.23863636
DO1571,HF/LC,Female,11,2.559556787,93.94444444
DO1572,HC/LF,Female,11,2.540121161,76.7032967
DO1573,HF/LC,Female,11,2.738442316,168.2417582
DO1574,HC/LF,Female,11,2.925864223,74.0625
DO1575,HF/LC,Female,11,2.448753463,71.04395604
DO1576,HC/LF,Female,11,2.173650525,68.68131868
DO1577,HF/LC,Female,11,2.845059592,91.59340659
DO1578,HC/LF,Female,11,2.271468144,64.83516484
DO1579,HF/LC,Female,11,2.69,91.12359551
DO1580,HC/LF,Female,11,2.693526483,72.78409091
DO1581,HF/LC,Female,11,4.15,92.60416667
DO1582,HC/LF,Female,11,2.384423157,76.35416667
DO1583,HF/LC,Female,11,2.259259259,80.43956044
DO1584,HC/LF,Female,11,2.41,69.5505618
DO1585,HF/LC,Female,11,2.410593029,76.22222222
DO1586,HC/LF,Female,11,2.6,79.07608696
DO1587,HF/LC,Female,11,2.614305115,74.94791667
DO1588,HC/LF,Female,11,2.629842586,67.84210526
DO1589,HF/LC,Female,11,2.397714519,53.57954545
DO1590,HC/LF,Female,11,2.213541667,55.10869565
DO1591,HF/LC,Female,11,2.63,81.12903226
DO1592,HC/LF,Female,11,2.526315789,76.97802198
DO1593,HF/LC,Female,11,2.342907558,120.6666667
DO1594,HC/LF,Female,11,3.052375997,67.60869565
DO1595,HF/LC,Female,11,2.908555908,74.19354839
DO1596,HC/LF,Female,11,2.852661504,68.06451613
DO1597,HF/LC,Female,11,2.37021621,137.8651685
DO1598,HC/LF,Female,11,2.459833795,79.04255319
DO1600,HC/LF,Female,11,2.63,51.50537634
DO1601,HF/LC,Female,11,2.647704937,68.09782609
DO1602,HC/LF,Female,11,2.45,52.25274725
DO1603,HF/LC,Female,11,3.044363966,112.8888889
DO1604,HC/LF,Female,11,2.495659722,61.23595506
DO1605,HF/LC,Female,11,3.44,108.6979167
DO1606,HC/LF,Female,11,3,59.36170213
DO1607,HF/LC,Female,11,2.394835485,103.0319149
DO1608,HC/LF,Female,11,2.928272625,83.11111111
DO1609,HF/LC,Female,11,3.74,136.2637363
DO1610,HC/LF,Female,11,2.555555556,65.2247191
DO1611,HF/LC,Female,11,2.518864917,60.78651685
DO1612,HC/LF,Male,11,2.846648301,82.52808989
DO1613,HF/LC,Male,11,3.7,128.75
DO1614,HC/LF,Male,11,3.01,91.23655914
DO1615,HF/LC,Male,11,2.691272587,60.65217391
DO1616,HC/LF,Male,11,3.294717823,95.32967033
DO1617,HF/LC,Male,11,2.74,85.10638298
DO1618,HC/LF,Male,11,3.548671699,102.5842697
DO1619,HF/LC,Male,11,3.493754913,80.79787234
DO1620,HC/LF,Male,11,3.213296399,77.72222222
DO1621,HF/LC,Male,11,3.379742799,142.8021978
DO1622,HC/LF,Male,11,3.229024943,94.33333333
DO1623,HF/LC,Male,11,2.736842105,64.61956522
DO1624,HC/LF,Male,11,3.245192308,100
DO1625,HF/LC,Male,11,3.694975964,89.20454545
DO1627,HF/LC,Male,11,3.7,124.9444444
DO1629,HF/LC,Male,11,2.795633099,80.38461538
DO1630,HC/LF,Male,11,3.009896949,64.78021978
DO1631,HF/LC,Male,11,3.440475068,115.2247191
DO1632,HC/LF,Male,11,3.092783505,58.51648352
DO1633,HF/LC,Male,11,4.323105578,127.4725275
DO1634,HC/LF,Male,11,3.56,73.29787234
DO1635,HF/LC,Male,11,3.909090909,91.875
DO1636,HC/LF,Male,11,2.893860947,98.93617021
DO1637,HF/LC,Male,11,2.97,67.21052632
DO1638,HC/LF,Male,11,3.152633602,88.75
